Category,Data Element,Period ,Item Code 
NTD-USD Exchange Rates ,NTD-USD Exchange Rates ,Yearly,BP01Y01en 
,NTD-USD Exchange Rates ,Monthly,BP01M01en 
,NTD-USD Exchange Rates ,Daily,BP01D01en 
Key Financial Indicators ,Money ,Yearly,EF01Y01en 
,Money ,Monthly,EF01M01en 
,Deposits ,Yearly,EF03Y01en 
,Deposits ,Monthly,EF03M01en 
,Loans & Investments (measured at original costs) ,Yearly,EFA4Y01en 
,Loans & Investments (measured at original costs) ,Monthly,EFA4M01en 
,Financial Markets ,Yearly,EF05Y01en 
,Financial Markets ,Monthly,EF05M01en 
,Other,Yearly,EF07Y01en 
,Other,Monthly,EF07M01en 
,Seasonally Adjusted Key Financial Indicators ,Monthly,EF10M01en 
Money,Reserve Money (Avg of Daily Figures),Yearly,EF11Y01en 
,Reserve Money (Avg of Daily Figures),Monthly,EF11M01en 
,Reserve Money (End of Month),Yearly,EF12Y01en 
,Reserve Money (End of Month),Monthly,EF12M01en 
,Factors Responsible for Changes in Reserve Money ,Yearly,EF13Y01en 
,Factors Responsible for Changes in Reserve Money ,Monthly,EF13M01en 
,Monetary Aggregates (Avg of Daily Figures),Yearly,EF15Y01en 
,Monetary Aggregates (Avg of Daily Figures),Monthly,EF15M01en 
,Monetary Aggregates (End of Month),Yearly,EF17Y01en 
,Monetary Aggregates (End of Month),Monthly,EF17M01en 
,Factors Responsible for Changes in Monetary Aggregate M1B ,Yearly,EF19Y01en 
,Factors Responsible for Changes in Monetary Aggregate M1B ,Monthly,EF19M01en 
,Factors Responsible for Changes in Monetary Aggregate M2 ,Yearly,EF21Y01en 
,Factors Responsible for Changes in Monetary Aggregate M2 ,Monthly,EF21M01en 
,Reserve Ratios ,Daily,EF71D01en 
,Reserve Requirements of Financial Institutions ,Yearly,EF72Y01en 
,Reserve Requirements of Financial Institutions ,Monthly,EF72M01en 
,Liquidity Ratio and Liquid Reserves of Other Monetary Financial Institutions ,Yearly,EF73Y01en 
,Liquidity Ratio and Liquid Reserves of Other Monetary Financial Institutions ,Monthly,EF73M01en 
,Liquid Liabilities ,Yearly,EFA1Y01en 
,Liquid Liabilities ,Monthly,EFA1M01en 
Consolidated Assets and Liabilities,Financial Institutions – Assets,Yearly,EF39Y01en
,Financial Institutions – Assets,Monthly,EF39M01en 
,Financial Institutions – Liabilities,Yearly,EF41Y01en 
,Financial Institutions – Liabilities,Monthly,EF41M01en 
