domain,data_item_zh,data_item_en,data_series_id,data_dimension,data_period
國民所得統計 ,國內生產毛額依支出分-年(1981以後),GDP by Expenditure - Annual,A018102050,1+2+3.1+2+3+6+9+12+13+14+15+16+17+18+19+20+21..A.,StartTime=1981&endTime=2024
國民所得統計 ,國內生產毛額貢獻度─依支出分-年,GDP Contribution by Expenditure - Annual,A018102070,1+2+3+4+5+6+7+8+9+10+11+12...A.,StartTime=1981&endTime=2024
國民所得統計 ,國內生產毛額貢獻度─依行業分-年,GDP Contribution by Industry - Annual,A018102080,1.1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28..A.,StartTime=1981&endTime=2024
國民所得統計 ,國內各業生產及平減指數-年,Domestic Production and Deflators by Industry - Annual,A018103010,1+2+3+4+5.1+6+7+33+36+39+40+43+49+52+56+60+63+64+67+68+69+72+73+77+78+79+80+82..A.,StartTime=1981&endTime=2024
國民所得統計 ,國民所得、儲蓄與投資-年,"National income, savings and investment - Annual",A018201010,1+2+3.1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19..A.,StartTime=1981&endTime=2024
國民所得統計 ,民間消費-年,Private Consumption - Annual,A018203010,1+2+3.1+2+16..A.,StartTime=1981&endTime=2024
國民所得統計 ,固定資本形成毛額-年,Fixed Capital Formation - Annual,A018401010,1+2+3.1+2+7+8+11.1+2+3+4+5.A.,StartTime=1981&endTime=2024
國民所得統計 ,各業固定資本形成毛額-年,Fixed Capital Formation by Industry,A018402010,1+2+3.1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21.1+2+3+4+5.A.,StartTime=1981&endTime=2024
國民所得統計 ,存貨變動-年,Inventory Changes,A018403010,1+2.1+2+3..A.,StartTime=1981&endTime=2024
國民所得統計 ,國內生產及要素所得-年,Domestic Production and factor income - Annual,A018102020,1+2+3.1+6+7+33+36+39+40+43+49+52+56+60+63+64+67+68+69+72+73+77+78+79+80+84..A.,StartTime=1981&endTime=2024
家庭收支統計 ,所得總額按來源別分 -年,Total Income by Source - Annual,A020002010,1+2.1+2+3+4+5..A.,StartTime=1981&endTime=2024
家庭收支統計 ,政府對家庭移轉收支對所得分配之影響 -年,Impact of Government Transfers on Income Distribution - Annual,A020005010,1+2+3+4+5+6...A.,StartTime=1981&endTime=2024
家庭收支統計 ,家庭消費支出按消費型態分 -年,Household Consumption by consumption type – Annual,A020007010,1+2+3+4+5+6+7+8+9+10+11...A.,StartTime=1981&endTime=2024
國民所得統計 ,政府消費-年,Government Consumption,A018706010,1+2+3+4+5+6+7+8+9+10+11...A.,StartTime=1981&endTime=2024
物價統計 ,消費者物價基本分類指數-年,CPI - Annual,A030101015,1+2+29+36+52+62+66+75...A.,StartTime=1981&endTime=2024
